# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       5.257543687801e+00       6.080948585420e+03       1.082897356555e+00       1.619223103892e-05       9.686693747081e-01       1.568491831560e-05       7.341687046329e+00       1.274007967681e-12       1.916666178129e-04 
       5.375027553353e+00       6.022460746150e+03       1.082831589079e+00       1.680492841303e-05       9.677349589924e-01       1.626271670865e-05       7.406762384957e+00       1.245577568387e-12       2.007927080129e-04 
       5.494884812584e+00       5.964421648677e+03       1.082755097359e+00       1.744153729871e-05       9.667735488415e-01       1.686201691152e-05       7.457816282765e+00       1.209082785963e-12       2.103682405859e-04 
       5.617281166125e+00       5.906776100613e+03       1.082651888322e+00       1.810337849448e-05       9.657834539150e-01       1.748394340993e-05       7.492634545584e+00       1.163275587673e-12       2.204252497346e-04 
       5.742463431915e+00       5.849438603988e+03       1.082498858038e+00       1.879214106837e-05       9.647622954878e-01       1.812994915425e-05       7.508613883489e+00       1.106604650783e-12       2.310046738239e-04 
       5.870832135099e+00       5.792266130664e+03       1.082258933767e+00       1.951018886414e-05       9.637063914375e-01       1.880209370652e-05       7.502601839510e+00       1.037026008116e-12       2.421637328690e-04 
       6.003093112323e+00       5.735002226069e+03       1.081868105297e+00       2.026122673321e-05       9.626094650793e-01       1.950364862750e-05       7.470569265708e+00       9.515651654908e-13       2.539915483075e-04 
       6.140622153592e+00       5.677143387739e+03       1.081207594965e+00       2.105197333770e-05       9.614595283043e-01       2.024062035514e-05       7.406832770757e+00       8.451082622626e-13       2.666469885532e-04 
       6.286479393876e+00       5.617570234971e+03       1.080032054166e+00       2.189695595524e-05       9.602301814596e-01       2.102611799031e-05       7.301822465667e+00       7.079289590041e-13       2.804648739653e-04 
       6.446794313377e+00       5.554111968224e+03       1.077757217946e+00       2.282292350207e-05       9.588685571696e-01       2.188418372883e-05       7.136675265086e+00       5.467772622635e-13       2.961162750756e-04 
       6.605681608040e+00       5.493200021761e+03       1.073687430407e+00       2.371732846388e-05       9.575104455860e-01       2.270958974556e-05       6.919510732420e+00       3.273270689601e-13       3.120874910491e-04 
       6.796488752787e+00       5.422515973772e+03       1.064278226378e+00       2.470386516450e-05       9.558738328614e-01       2.361377828128e-05       6.573560930580e+00       6.474211381925e-15       3.318138796699e-04 
